#,Drużyna,M,W,R,P,B,RB,P
1.,Legia Warszawa,30,17,5,8,57:30,27,56
2.,Lech Poznań,30,14,12,4,52:27,25,54
3.,Jagiellonia Białystok,30,14,7,9,43:35,8,49
4.,Śląsk Wrocław,30,12,10,8,43:36,7,46
5.,Wisła Kraków,30,11,10,9,47:39,8,43
6.,Górnik Zabrze,30,11,10,9,43:43,0,43
7.,Pogoń Szczecin,30,11,8,11,40:38,2,41
8.,Lechia Gdańsk,30,11,8,11,36:37,-1,41
9.,Korona Kielce,30,10,9,11,34:42,-8,39
10.,Piast Gliwice,30,11,6,13,38:43,-5,39
11.,Podbeskidzie B-B,30,10,9,11,40:48,-8,39
12.,Cracovia,30,10,7,13,35:41,-6,37
13.,Górnik Łęczna,30,8,10,12,31:37,-6,34
14.,Ruch Chorzów,30,8,9,13,33:38,-5,33
15.,GKS Bełchatów,30,8,7,15,24:42,-18,31
16.,Zawisza Bydgoszcz,30,8,5,17,32:52,-20,29
