#,Drużyna,M,W,R,P,B,RB,P
1.,Legia Warszawa,30,19,7,4,48:24,24,64
2.,Raków Częstochowa,30,17,8,5,46:25,21,59
3.,Pogoń Szczecin,30,15,7,8,36:23,13,52
4.,Śląsk Wrocław,30,11,10,9,36:32,4,43
5.,Warta Poznań,30,13,4,13,33:32,1,43
6.,Piast Gliwice,30,11,9,10,39:32,7,42
7.,Lechia Gdańsk,30,12,6,12,40:37,3,42
8.,Zagłębie Lubin,30,11,8,11,38:40,-2,41
9.,Jagiellonia Białystok,30,10,7,13,39:48,-9,37
10.,Górnik Zabrze,30,10,7,13,31:33,-2,37
11.,Lech Poznań,30,9,10,11,39:38,1,37
12.,Wisła Płock,30,8,9,13,37:44,-7,33
13.,Wisła Kraków,30,8,9,13,39:42,-3,33
14.,Cracovia,30,8,13,9,28:32,-4,32
15.,Stal Mielec,30,6,11,13,31:47,-16,29
16.,Podbeskidzie B-B,30,6,7,17,29:60,-31,25
