#,Drużyna,M,W,R,P,B,RB,P
1.,Legia Warszawa,30,20,3,7,60:30,30,63
2.,Lech Poznań,30,15,8,7,56:34,22,53
3.,Ruch Chorzów,30,14,8,8,40:38,2,50
4.,Pogoń Szczecin,30,11,14,5,47:38,9,47
5.,Wisła Kraków,30,12,9,9,38:30,8,45
6.,Zawisza Bydgoszcz,30,11,9,10,43:37,6,42
7.,Górnik Zabrze,30,11,9,10,42:46,-4,42
8.,Lechia Gdańsk,30,10,10,10,38:37,1,40
9.,Cracovia,30,11,6,13,37:43,-6,39
10.,Jagiellonia Białystok,30,10,9,11,46:43,3,39
11.,Korona Kielce,30,9,10,11,36:41,-5,37
12.,Śląsk Wrocław,30,7,13,10,38:40,-2,34
13.,Piast Gliwice,30,8,10,12,29:47,-18,34
14.,Podbeskidzie B-B,30,6,13,11,27:39,-12,31
15.,Zagłębie Lubin,30,7,8,15,31:40,-9,29
16.,Widzew Łódź,30,5,7,18,26:51,-25,22
