#,Drużyna,M,W,R,P,B,RB,P
1.,Lech Poznań,30,15,10,5,49:23,26,55
2.,Jagiellonia Białystok,30,16,6,8,45:36,9,54
3.,Legia Warszawa,30,17,3,10,43:31,12,54
4.,Wisła Płock,30,15,4,11,42:35,7,49
5.,Górnik Zabrze,30,12,11,7,56:46,10,47
6.,Korona Kielce,30,11,12,7,44:37,7,45
7.,Wisła Kraków,30,12,8,10,41:36,5,44
8.,Zagłębie Lubin,30,10,13,7,39:33,6,43
9.,Arka Gdynia,30,10,10,10,38:32,6,40
10.,Cracovia,30,10,9,11,40:40,0,39
11.,Śląsk Wrocław,30,7,10,13,35:48,-13,31
12.,Pogoń Szczecin,30,8,7,15,34:48,-14,31
13.,Piast Gliwice,30,6,12,12,28:38,-10,30
14.,Lechia Gdańsk,30,7,10,13,39:51,-12,30
15.,Bruk-Bet T.,30,7,8,15,32:52,-20,29
16.,Sandecja Nowy Sącz,30,4,13,13,27:46,-19,25
