#,Drużyna,M,W,R,P,B,RB,P
1.,Legia Warszawa,30,20,7,3,59:22,37,67
2.,Lech Poznań,30,19,4,7,46:22,24,61
3.,Śląsk Wrocław,30,13,8,9,44:42,2,47
4.,Piast Gliwice,30,13,7,10,41:41,0,46
5.,Górnik Zabrze,30,12,7,11,35:31,4,43
6.,Polonia Warszawa,30,11,9,10,45:34,11,42
7.,Wisła Kraków,30,10,8,12,28:35,-7,38
8.,Lechia Gdańsk,30,10,8,12,42:43,-1,38
9.,Zagłębie Lubin,30,11,7,12,38:37,1,37
10.,Jagiellonia Białystok,30,8,13,9,31:45,-14,37
11.,Korona Kielce,30,9,9,12,32:37,-5,36
12.,Pogoń Szczecin,30,10,5,15,29:39,-10,35
13.,Widzew Łódź,30,8,9,13,30:41,-11,33
14.,Podbeskidzie B-B,30,8,8,14,39:43,-4,32
15.,Ruch Chorzów,30,8,7,15,35:48,-13,31
16.,GKS Bełchatów,30,7,10,13,24:38,-14,31
