#,Drużyna,M,W,R,P,B,RB,P
1.,Jagiellonia Białystok,30,18,5,7,56:31,25,59
2.,Legia Warszawa,30,17,7,6,58:30,28,58
3.,Lech Poznań,30,16,7,7,50:22,28,55
4.,Lechia Gdańsk,30,16,5,9,46:37,9,53
5.,Wisła Kraków,30,13,5,12,45:46,-1,44
6.,Pogoń Szczecin,30,10,12,8,47:40,7,42
7.,Bruk-Bet T.,30,12,6,12,31:38,-7,42
8.,Korona Kielce,30,12,3,15,39:55,-16,39
9.,Wisła Płock,30,10,9,11,42:44,-2,39
10.,Zagłębie Lubin,30,10,9,11,37:36,1,39
11.,Śląsk Wrocław,30,8,10,12,34:45,-11,34
12.,Arka Gdynia,30,8,7,15,37:50,-13,31
13.,Cracovia,30,6,13,11,38:43,-5,31
14.,Ruch Chorzów,30,10,4,16,37:46,-9,30
15.,Piast Gliwice,30,7,9,14,31:49,-18,30
16.,Górnik Łęczna,30,7,9,14,36:52,-16,30
