#,Drużyna,M,W,R,P,B,RB,P
1.,Lechia Gdańsk,30,17,9,4,45:25,20,60
2.,Legia Warszawa,30,18,6,6,48:31,17,60
3.,Piast Gliwice,30,15,8,7,47:31,16,53
4.,Cracovia,30,14,6,10,39:34,5,48
5.,Zagłębie Lubin,30,14,5,11,48:38,10,47
6.,Jagiellonia Białystok,30,13,8,9,45:41,4,47
7.,Pogoń Szczecin,30,12,7,11,44:42,2,43
8.,Lech Poznań,30,13,4,13,41:40,1,43
9.,Wisła Kraków,30,12,6,12,55:48,7,42
10.,Korona Kielce,30,10,10,10,35:44,-9,40
11.,Miedź Legnica,30,8,8,14,30:52,-22,32
12.,Górnik Zabrze,30,7,10,13,36:49,-13,31
13.,Śląsk Wrocław,30,8,7,15,35:37,-2,31
14.,Wisła Płock,30,7,9,14,40:49,-9,30
15.,Arka Gdynia,30,6,11,13,39:44,-5,29
16.,Zagłębie Sosnowiec,30,6,6,18,41:63,-22,24
