#,Drużyna,M,W,R,P,B,RB,P
1.,Legia Warszawa,30,17,9,4,58:28,30,60
2.,Piast Gliwice,30,17,7,6,49:36,13,58
3.,Pogoń Szczecin,30,10,16,4,36:30,6,46
4.,Zagłębie Lubin,30,12,9,9,41:37,4,45
5.,Cracovia,30,12,9,9,57:42,15,45
6.,Lech Poznań,30,13,4,13,37:38,-1,43
7.,Lechia Gdańsk,30,10,9,11,45:37,8,38
8.,Ruch Chorzów,30,11,6,13,37:46,-9,38
9.,Podbeskidzie B-B,30,9,11,10,37:46,-9,38
10.,Korona Kielce,30,9,10,11,32:37,-5,37
11.,Wisła Kraków,30,8,13,9,45:35,10,36
12.,Jagiellonia Białystok,30,10,5,15,37:54,-17,35
13.,Śląsk Wrocław,30,8,10,12,28:37,-9,34
14.,Bruk-Bet T.,30,8,9,13,33:43,-10,33
15.,Górnik Łęczna,30,8,7,15,30:43,-13,31
16.,Górnik Zabrze,30,4,14,12,33:46,-13,25
